year,province,district,community,project,amount_mzn,needs_review
2022,,,,Vedação ee melhoramento do campo de futebol,5961372.3,yes
2022,,,,Electrificação da rede elétrica,3952494.13,yes
2022,,,,Abertura de um furo positivo mecânico Afridev para,490003.74,yes
2022,,,,"abastecimento de água Construção de um mercado, vedação e melhoramento",692000.0,yes
2022,,Nyamanhumbir 1º e 2º,,"do campo de futebol, eletrificação da rede elétrica Amortização da dívida dos trabalhos adicionais EPC do",345756.7,yes
2022,Cabo Delgado,Nyamanhumbir 1º e 2º,,Amortização da dívida dos trabalhos adicionais para acabamento de sistema de água e latrinas na EPC de,199974.4,yes
2022,Cabo Delgado,Nyamanhumbir 1º e 2º,,Nanhupo A Pagamento de trabalhos adicionais sobre a montagem de cabo elétrico no centro de saúde da aldeia de,160606.88,yes
2022,Cabo Delgado,Nyamanhumbir 1º e 2º,,Namahaca Publicação de concurso,26901.93,yes
2022,Cabo Delgado,Balama,Balama,Construção de uma Morgue,154620.0,yes
2022,Cabo Delgado,Mueda,Mueda,Compra de Moageira,137989.54,yes
2022,Cabo Delgado,Ancuabe,Metoro,(Atividade não especificada),176345.87,yes
2022,Cabo Delgado,Ancuabe,Metoro,Construção do Mercado de Kabula,1829969.02,yes
2022,Cabo Delgado,Ancuabe,Metoro,Reabilitação da Estrada Nathaka-Nathuko,2900722.5,yes
2022,Nampula,Larde,Topuito,Construção do edifício do Serviço Distrital de Saúde da,2000000.0,yes
2022,Nampula,Angoche,Angoche,Mulher e Ação Social (I fase) Construção de um mercado na comunidade de,721000.0,yes
2022,Nampula,Angoche,Angoche,Namaune Reabilitação de 02 fontes de abastecimento de água,372412.0,yes
2022,Nampula,Angoche,Mitange,em Madome Reabilitação e ampliação da Escola Primária de,784995.69,yes
2022,Zambézia,Chinde,Mitange,Madome Construção do muro do Posto de Saúde de Mitange,900000.0,yes
2022,Zambézia,Chinde,Micaúne,Reabilitação do Mercado do Posto Administrativo de,934242.0,yes
2022,Alto Molócuè,Alto Molócuè (Atividade não especificada),Micaúne,Micaúne,232907.0,yes
2022,Alto Molócuè,Alto Molócuè (Atividade não especificada),Cateme,Aquisição de 200 chapas de zinco para cobertura das,625290.0,yes
2022,Alto Molócuè,25 de Setembro,Cateme,salas de aula Aquisição de candeeiros para iluminação pública no,625290.0,yes
2022,Alto Molócuè,Chipanga 2,Cateme,bairro 25 de Setembro Aquisição de candeeiros para iluminação pública,625290.0,yes
2022,Tete,Chipanga 2,Benga,"Canalização da conduta de água com 5km, para",4876900.0,yes
2022,Tete,Tsangano,Tsangano,alimentação de sistema de abastecimento de água Aquisição de material para cobertura de 6 salas de aula,810197.0,yes
2022,Tete,Chipembere,Tsangano,Manutenção de 3 furos de água e construção de 3,573018.0,yes
2022,Tete,Chipembere,Manica,bebedouros para cada fonte de água (Atividade não especificada),505697.0,yes
2022,Manica,Machipanda,Manica,(Atividade não especificada),277780.0,yes
2022,Manica,Machipanda,Manica,Aquisição de 8 computadores e 8 UPS para sala de,443600.0,yes
2022,Manica,Machipanda,Manica,informática da Escola Secundária de Pande Construção de um bloco administrativo na Escola,1663372.94,yes
2022,Inhambane,Govouro,Pande,Secundária de Pande Gradeamento do bloco administrativo,306220.0,yes
2022,Inhambane,Govouro,Pande,Fiscalização da obra de construção da Escola,126000.0,yes
2022,Inhambane,Govouro,Chimedje,Secundária Gradeamento do bloco administrativo da Escola,2070557.57,yes
2022,Inhambane,Govouro,Chimedje,Completa 1/2 de Chimedje 151 Montantes em milhares de MT Fiscalização da obra de construção do bloco administrativo da Escola Primária Completa de,230000.0,yes
2022,Inhambane,Govouro,Chimedje,Chimedje Aquisição de 12 computadores e 12 UPS para sala de,590000.0,yes
2022,Inhambane,Govouro,Pande,informática da Escola Secundária Manutenção do centro de saúde de Pande e gradeamento da sala de informática da Escola,686701.4,yes
2022,Inhambane,Govouro,Pande,Secundária Fiscalização da obra de manutenção do centro de,73201.05,yes
2022,Inhambane,Govouro,Pande,saúde Construção de 1 bloco de 3 salas de aulas na EP1 e EP2,4587667.37,yes
2022,Inhambane,Inhassoro,Maimelane,de Mangarelane 1 Fiscalização das obras de construção de 1 bloco de 3,486156.0,yes
2022,Inhambane,Inhassoro,Maimelane,salas de aulas na EP1 e EP2 de Mangarelane Adenda para construção de 2 blocos de latrinas,1146916.86,yes
2022,Maputo,Namaacha,Namaacha,duplicadas na EP1 e EP2 de Mangarelane 1 Reabilitação de fontes de água,304498.0,yes
